Loss_im,psnr
363.9987,31.4879
363.9987,31.4879
374.84,32.6278
374.84,32.6278
374.84,32.6278
383.3714,33.3489
383.3714,33.3489
383.3714,33.3489
345.802,32.1688
345.802,32.1688
345.802,32.1688
393.9137,31.5693
393.9137,31.5693
393.9137,31.5693
335.2102,32.3228
335.2102,32.3228
335.2102,32.3228
437.3155,32.2654
437.3155,32.2654
437.3155,32.2654
320.8344,31.8819
320.8344,31.8819
320.8344,31.8819
353.7024,32.4798
353.7024,32.4798
353.7024,32.4798
369.278,33.8015
369.278,33.8015
369.278,33.8015
351.0555,31.9038
351.0555,31.9038
351.0555,31.9038
411.0412,32.438
411.0412,32.438
411.0412,32.438
326.8334,32.3931
326.8334,32.3931
326.8334,32.3931
359.3891,32.7232
359.3891,32.7232
359.3891,32.7232
407.7194,33.7007
407.7194,33.7007
407.7194,33.7007
358.8432,33.09
358.8432,33.09
358.8432,33.09
341.8371,33.5651
341.8371,33.5651
341.8371,33.5651
375.0539,32.4681
375.0539,32.4681
375.0539,32.4681
369.3046,33.1552
369.3046,33.1552
369.3046,33.1552
389.9717,32.3451
389.9717,32.3451
389.9717,32.3451
342.2166,32.5686
342.2166,32.5686
342.2166,32.5686
391.2983,32.609
391.2983,32.609
391.2983,32.609
398.8441,32.092
398.8441,32.092
398.8441,32.092
353.0068,32.605
353.0068,32.605
353.0068,32.605
361.6983,32.7765
361.6983,32.7765
361.6983,32.7765
340.8356,34.0789
340.8356,34.0789
340.8356,34.0789
345.4584,32.225
345.4584,32.225
345.4584,32.225
352.6214,31.9026
352.6214,31.9026
352.6214,31.9026
307.6446,33.5502
307.6446,33.5502
307.6446,33.5502
360.5413,33.5608
360.5413,33.5608
360.5413,33.5608
370.7465,33.8593
370.7465,33.8593
370.7465,33.8593
367.8823,33.6614
367.8823,33.6614
367.8823,33.6614
345.4212,33.1687
345.4212,33.1687
345.4212,33.1687
332.413,32.5738
332.413,32.5738
332.413,32.5738
391.9002,31.6856
391.9002,31.6856
391.9002,31.6856
372.3169,32.6161
372.3169,32.6161
372.3169,32.6161
419.2428,32.4208
419.2428,32.4208
419.2428,32.4208
443.6934,32.9618
443.6934,32.9618
443.6934,32.9618
365.1763,32.4244
365.1763,32.4244
365.1763,32.4244
399.3204,33.1809
399.3204,33.1809
399.3204,33.1809
379.4536,32.5135
379.4536,32.5135
379.4536,32.5135
429.7063,32.5242
429.7063,32.5242
429.7063,32.5242
372.5909,32.5287
372.5909,32.5287
372.5909,32.5287
378.2543,32.7729
378.2543,32.7729
378.2543,32.7729
362.5372,32.3043
362.5372,32.3043
362.5372,32.3043
396.8006,31.1053
396.8006,31.1053
396.8006,31.1053
411.066,32.0255
411.066,32.0255
411.066,32.0255
397.488,33.2222
397.488,33.2222
397.488,33.2222
384.7214,33.2926
384.7214,33.2926
384.7214,33.2926
430.9954,31.8794
430.9954,31.8794
430.9954,31.8794
419.8882,33.4913
419.8882,33.4913
419.8882,33.4913
348.1696,33.4062
348.1696,33.4062
348.1696,33.4062
404.2925,32.9417
