Loss_im,psnr
403.4637,34.7153
403.4637,34.7153
357.3569,31.9893
357.3569,31.9893
357.3569,31.9893
330.9247,33.1292
330.9247,33.1292
330.9247,33.1292
390.2225,33.2138
390.2225,33.2138
390.2225,33.2138
384.3977,33.9197
384.3977,33.9197
384.3977,33.9197
379.3057,33.7833
379.3057,33.7833
379.3057,33.7833
334.9364,34.3732
334.9364,34.3732
334.9364,34.3732
320.8455,33.8099
320.8455,33.8099
320.8455,33.8099
311.1922,33.1772
311.1922,33.1772
311.1922,33.1772
344.1984,31.9069
344.1984,31.9069
344.1984,31.9069
416.1309,33.1263
416.1309,33.1263
416.1309,33.1263
357.8007,32.3335
357.8007,32.3335
357.8007,32.3335
448.4564,35.6079
448.4564,35.6079
448.4564,35.6079
313.9496,32.4965
313.9496,32.4965
313.9496,32.4965
402.4288,33.9888
402.4288,33.9888
402.4288,33.9888
358.4597,33.4699
358.4597,33.4699
358.4597,33.4699
330.218,31.7414
330.218,31.7414
330.218,31.7414
442.3098,33.6825
442.3098,33.6825
442.3098,33.6825
404.8943,32.4762
404.8943,32.4762
404.8943,32.4762
332.8466,32.7612
332.8466,32.7612
332.8466,32.7612
380.2485,32.4297
380.2485,32.4297
380.2485,32.4297
401.4094,34.7202
401.4094,34.7202
401.4094,34.7202
364.784,33.3385
364.784,33.3385
364.784,33.3385
342.3976,33.5922
342.3976,33.5922
342.3976,33.5922
305.1152,34.2043
305.1152,34.2043
305.1152,34.2043
357.6753,33.7017
357.6753,33.7017
357.6753,33.7017
334.875,33.6679
334.875,33.6679
334.875,33.6679
374.1191,33.3602
374.1191,33.3602
374.1191,33.3602
346.0327,34.0708
346.0327,34.0708
346.0327,34.0708
299.9025,34.0664
299.9025,34.0664
299.9025,34.0664
367.1492,34.474
367.1492,34.474
367.1492,34.474
332.8998,33.2847
332.8998,33.2847
332.8998,33.2847
382.6197,34.78
382.6197,34.78
382.6197,34.78
389.8256,35.4415
389.8256,35.4415
389.8256,35.4415
319.4333,32.6986
319.4333,32.6986
319.4333,32.6986
400.0956,33.5232
400.0956,33.5232
400.0956,33.5232
317.0004,35.1805
317.0004,35.1805
317.0004,35.1805
330.7048,33.3857
330.7048,33.3857
330.7048,33.3857
363.7797,33.166
363.7797,33.166
363.7797,33.166
375.5229,33.0713
375.5229,33.0713
375.5229,33.0713
361.4878,33.6305
361.4878,33.6305
361.4878,33.6305
351.6619,33.6094
351.6619,33.6094
351.6619,33.6094
332.7451,33.6912
332.7451,33.6912
332.7451,33.6912
361.612,35.1549
361.612,35.1549
361.612,35.1549
379.1247,33.8749
379.1247,33.8749
379.1247,33.8749
336.3231,33.8202
336.3231,33.8202
336.3231,33.8202
359.7227,35.1856
359.7227,35.1856
359.7227,35.1856
324.0416,34.2294
324.0416,34.2294
324.0416,34.2294
333.7785,35.1716
333.7785,35.1716
333.7785,35.1716
317.143,32.9192
317.143,32.9192
317.143,32.9192
352.8626,34.0994
352.8626,34.0994
352.8626,34.0994
310.2595,35.2392
310.2595,35.2392
310.2595,35.2392
314.943,34.9314
314.943,34.9314
314.943,34.9314
323.4288,34.9654
323.4288,34.9654
323.4288,34.9654
306.5335,33.2609
306.5335,33.2609
306.5335,33.2609
316.0568,34.3556
316.0568,34.3556
316.0568,34.3556
355.1094,34.6073
355.1094,34.6073
355.1094,34.6073
345.6167,34.966
345.6167,34.966
345.6167,34.966
331.4906,34.3065
331.4906,34.3065
331.4906,34.3065
293.7075,33.7202
293.7075,33.7202
293.7075,33.7202
302.8324,35.853
302.8324,35.853
302.8324,35.853
293.0921,34.8253
293.0921,34.8253
293.0921,34.8253
299.9957,34.1184
299.9957,34.1184
299.9957,34.1184
304.1274,35.6145
304.1274,35.6145
304.1274,35.6145
308.8446,33.2622
308.8446,33.2622
308.8446,33.2622
292.3421,35.0293
292.3421,35.0293
292.3421,35.0293
305.272,33.3722
305.272,33.3722
305.272,33.3722
275.9392,34.9438
275.9392,34.9438
275.9392,34.9438
283.2483,34.5958
283.2483,34.5958
283.2483,34.5958
294.9006,33.7977
294.9006,33.7977
294.9006,33.7977
287.987,34.4247
287.987,34.4247
287.987,34.4247
279.89,34.8301
279.89,34.8301
279.89,34.8301
306.5313,34.5181
306.5313,34.5181
306.5313,34.5181
295.3092,34.2343
295.3092,34.2343
295.3092,34.2343
285.8831,33.5749
285.8831,33.5749
285.8831,33.5749
273.2523,34.1665
273.2523,34.1665
273.2523,34.1665
290.8913,35.4717
290.8913,35.4717
290.8913,35.4717
277.3923,34.6311
277.3923,34.6311
277.3923,34.6311
278.1125,34.1423
278.1125,34.1423
278.1125,34.1423
295.5759,35.8839
295.5759,35.8839
295.5759,35.8839
251.8262,34.9967
251.8262,34.9967
251.8262,34.9967
263.7927,36.1694
263.7927,36.1694
263.7927,36.1694
268.7082,34.424
268.7082,34.424
268.7082,34.424
284.5558,34.672
284.5558,34.672
284.5558,34.672
272.2264,37.1714
272.2264,37.1714
272.2264,37.1714
299.6169,34.8886
299.6169,34.8886
299.6169,34.8886
314.5663,34.5544
314.5663,34.5544
314.5663,34.5544
283.939,34.4174
283.939,34.4174
283.939,34.4174
266.6436,36.1376
266.6436,36.1376
